CookerStat, GenerateAssetRegistry=16.071074, Initialize=20.098400, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EF4AA47B4636C4803B5E158DF98157A7__1_0_13123_0, StartTime=2016.05.29-17.09.27, HierarchicalDDC=, DataSize=617, Duration=1.410712, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E57B1EA742D1A6A3F6E47189DC4F29CF__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=5451, Duration=1.327585, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B1924E8D46ED6486A15E1393864009AF__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=2719, Duration=0.967681, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0681BA214F2A4FAFF64EAAB19545BE10__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=4997, Duration=1.051407, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0DB766D0404EFC74C710A4B09FCF2C54__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=4523, Duration=1.408301, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_37A95A7F48B5534131F95F95B64CECBE__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=409, Duration=0.959847, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E764526745CC5E1A56C0B4A3DC92447D__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=409, Duration=1.167059, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E119512548FFE3555939E4896E23294F__1_0_13123_0, StartTime=2016.05.29-17.09.28, HierarchicalDDC=, DataSize=617, Duration=0.975810, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F6023182452605449E2AA8B2F8DA8E26__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=5275, Duration=1.304395, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C28AC5B34B646451DF085CB9B71F95C0__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=2719, Duration=1.190852, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AA838C9B4A1E07F9D18F68B8439214E9__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=4297, Duration=0.993580, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0BDA33444E3BC33AE155A8AD8DD1609D__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=4523, Duration=1.306202, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2530618C4017FBDD6F850AAA88B8ED91__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=409, Duration=1.200788, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A78A01554D60439C366B4DBF3BCC5613__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=409, Duration=1.391135, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CE4522848040048015805B37F5087B9__1_0_13123_0, StartTime=2016.05.29-17.09.33, HierarchicalDDC=, DataSize=617, Duration=1.521844, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB0C46E6419BE9B23EEA0F9129AB157A__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=5451, Duration=2.846722, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_665EBC664DB48273BB130D97F1C718B8__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=2719, Duration=1.258917, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9A40FD044E32537BAD92AFA318687D14__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=4997, Duration=1.125194, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6FAAAB64FC0F70FAA0AF59BC621301A__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=4523, Duration=1.497749, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B3B7F39E4FB1B7B47AF606A03C56758A__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=409, Duration=1.230907, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_111B6AC84C042BE5808C79972B44FEE3__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=409, Duration=1.164049, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E74A46324FD15F07E8244797DEC1E6BF__1_0_13123_0, StartTime=2016.05.29-17.09.35, HierarchicalDDC=, DataSize=617, Duration=1.276687, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_74F74F44469AAD8A596942A987D0DFE7__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=5451, Duration=1.585089, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3F0F4B444A8AF9C225FF78F30AFF5EE__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=2719, Duration=1.286928, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE883F544463A210046CA4A6BC6C7163__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=4997, Duration=1.158629, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A68A3F04B5ECF557707A687BB3127EC__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=4523, Duration=1.159530, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5C6DC8A4408FEDEA3CBEBE83EF6B33E1__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=409, Duration=1.135737, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_32CDC0D44A30EA4A2AA8F1B04B9FFDBA__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=409, Duration=1.507990, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10FEF6F6422C068836B574B98AAF6548__1_0_13123_0, StartTime=2016.05.29-17.11.10, HierarchicalDDC=, DataSize=617, Duration=1.133926, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7B6B50D4CD5AFE582554CA65CDB9F81__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=5451, Duration=1.145374, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D8049FB400DC96BEF25758060FE5567__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=2719, Duration=1.261629, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF4B0E064D40D138FEDAEABA3892AC3E__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=4997, Duration=1.100801, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D24CDFC456B8104D1661CB564CC9B2E__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=4523, Duration=1.255903, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D951B6BF43BD6BB3A8524F99AB4FE340__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=409, Duration=1.209527, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3785D43442903558605C9B9A94AAAC43__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=409, Duration=0.904132, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A16CFDE242BAC16C26CB51BD9879F3C4__1_0_13123_0, StartTime=2016.05.29-17.11.13, HierarchicalDDC=, DataSize=617, Duration=1.336020, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
